Reaction	P.Value	Pathway	adj_pval
137	R319	0	Fatty Acid Synthesis	0
138	R320	0	Fatty Acid Synthesis	0
139	R321	0	Fatty Acid Synthesis	0
140	R322	0	Fatty Acid Synthesis	0
141	R323	0	Fatty Acid Synthesis	0
142	R324	0	Fatty Acid Synthesis	0
143	R325	0	Fatty Acid Synthesis	0
144	R326	0	Fatty Acid Synthesis	0
145	R328	0	Fatty Acid Synthesis	0
146	R329	0	Fatty Acid Synthesis	0
147	R330	0	Fatty Acid Synthesis	0
148	R333	0	Fatty Acid Synthesis	0
149	R334	0	Fatty Acid Synthesis	0
150	R335	0	Fatty Acid Synthesis	0
151	R336	0	Fatty Acid Synthesis	0
152	R337	0	Fatty Acid Synthesis	0
153	R338	0	Fatty Acid Synthesis	0
154	R339	0	Fatty Acid Synthesis	0
155	R340	0	Fatty Acid Synthesis	0
156	R341	0	Fatty Acid Synthesis	0
157	R342	0	Fatty Acid Synthesis	0
158	R344	0	Fatty Acid Synthesis	0
159	R345	0	Glycerol-3-phosphate Shuttle	0
160	R346	0	Glycerol-3-phosphate Shuttle	0
161	R347	0	Glycerol-3-phosphate Shuttle	0
162	R354	0	Phosphatidylethanolamine Metabolism	0
163	R355	0	Phosphatidylethanolamine Metabolism	0
164	R356	0	Phosphatidylethanolamine Metabolism	0
165	R357	0	Phosphatidylcholine Metabolism	0
166	R358	0	Phosphatidylethanolamine Metabolism	0
167	R359	0	Phosphatidylethanolamine Metabolism	0
168	R369	0	Cardiolipin Metabolism	0
169	R370	0	Cardiolipin Metabolism	0
170	R371	0	Cardiolipin Metabolism	0
171	R378	0	Sphingomyelin Metabolism	0
172	R379	0	Sphingomyelin Metabolism	0
173	R380	0	Sphingomyelin Metabolism	0
174	R381	0	Sphingomyelin Metabolism	0
175	R382	0	Sphingomyelin Metabolism	0
176	R386	0	CDP-Diacylglycerol Biosynthesis	0
177	R387	0	CDP-Diacylglycerol Biosynthesis	0
178	R402	0	Inositol Metabolism	0
179	R403	0	Inositol Metabolism	0
180	R404	0	CDP-Diacylglycerol Biosynthesis	0
181	R405	0	Inositol Metabolism	0
182	R406	0	Inositol Metabolism	0
183	R407	0	Inositol Metabolism	0
184	R408	0	Inositol Metabolism	0
185	R409	0	Inositol Metabolism	0
186	R410	0	Inositol Metabolism	0
187	R411	0	Inositol Metabolism	0
188	R417	0	Lipid Synthesis	0
189	R431	0	Reactive Oxygen Species Pathway	0
190	R432	0	Reactive Oxygen Species Pathway	0
191	R453	0	Arginine Metabolism	0
192	R454	0	Arginine Metabolism	0
193	R455	0	Arginine Metabolism	0
194	R456	0	Arginine Metabolism	0
195	R457	0	Arginine Metabolism	0
196	R458	0	Arginine Metabolism	0
197	R459	0	Arginine Metabolism	0
198	R529	0	Pirimidine Nucleoside Metabolism	0
199	R530	0	Pirimidine Nucleoside Metabolism	0
200	R536	0	Purine Nucleoside Metabolism	0
201	R538	0	Purine Nucleoside Metabolism	0
202	R542	0	Purine Nucleoside Metabolism	0
203	R565	0	Pirimidine Nucleoside Metabolism	0
204	R567	0	Pirimidine Nucleoside Metabolism	0
205	R585	0	Exchange	0
206	R587	0	Exchange	0
207	R588	0	Exchange	0
208	R592	0	Exchange	0
209	R618	0	Exchange	0
210	R622	0	Exchange	0
211	R434	2.61e-287	Reactive Oxygen Species Pathway	7.79289099526066e-287
212	R576	1.99e-276	Exchange	5.91367924528302e-276
213	R84	9.31e-265	Oxidative Phosphorylation and ATPase	2.75366197183099e-264
214	R575	8.25e-234	Exchange	2.42873831775701e-233
215	R537	1.21e-159	Purine Nucleoside Metabolism	3.54558139534884e-159
216	R433	5.88e-135	Reactive Oxygen Species Pathway	1.715e-134
217	R31	2.32e-57	TCA Cycle	6.73548387096774e-57
218	R287	3.62e-39	Fatty Acid Synthesis	1.04614678899083e-38
219	R282	3.77e-39	Fatty Acid Synthesis	1.07959090909091e-38
220	R286	3.77e-39	Fatty Acid Synthesis	1.07959090909091e-38
221	R7	4.58e-35	Glycolysis	1.29390134529148e-34
222	R15	4.58e-35	Glycolysis	1.29390134529148e-34
223	R16	4.58e-35	Glycolysis	1.29390134529148e-34
224	R89	0.233352367826436	Glutamate - Glutamine Cycle	0.656303534511851
225	R83	0.23766289093453	TCA Cycle	0.665456094616684
226	R93	0.239112152663261	Glutamate - Glutamine Cycle	0.666551576008205
227	R59	0.600278642349761	Glycolysis	1
228	R60	0.600278642349761	Glycolysis	1
229	R52	0.600440238659412	Glycolysis	1
230	R331	0.650446515581989	Fatty Acid Synthesis	1
231	R332	0.650446515581989	Fatty Acid Synthesis	1
232	R327	0.651171553934341	Fatty Acid Synthesis	1
233	R1	1	Glycolysis	1
234	R2	1	Glycolysis	1
235	R3	1	Glycolysis	1
236	R4	1	Glycolysis	1
237	R5	1	Glycolysis	1
238	R6	1	Glycolysis	1
239	R11	1	Glycolysis	1
240	R14	1	Glycolysis	1
241	R17	1	Pentose Phosphate Pathway	1
242	R18	1	Pentose Phosphate Pathway	1
243	R19	1	Pentose Phosphate Pathway	1
244	R20	1	Pentose Phosphate Pathway	1
245	R21	1	Pentose Phosphate Pathway	1
246	R22	1	Pentose Phosphate Pathway	1
247	R23	1	Pentose Phosphate Pathway	1
248	R24	1	Pentose Phosphate Pathway	1
249	R28	1	TCA Cycle	1
250	R29	1	TCA Cycle	1
251	R32	1	TCA Cycle	1
252	R38	1	TCA Cycle	1
